Id	Designator	Package	Quantity	Designation	Farnell pn	Price per	
1	P102	Pin_Headers:Pin_Header_Straight_2x03	1	CONN_3X2	1205999	0.56	0.56
2	MH3,MH4,MH2,MH1	Mounting_Holes:MountingHole_2-5mm	4	MountingHole_2-5mm_RevA_Date21Jun2010			0
3	P103	Pin_Headers:Pin_Header_Straight_2x06	1	CONN_6X2	1206003	0.96	0.96
4	U101	SMD_Packages:TSSOP16	1	AD5689RARUZ	2306594	6.15	6.15
5	C101,C403,C407,C412,C413,C414,C415,C103	SMD_Packages:SM0603_Capa	8	100n	2211177	0.022	0.176
6	C401,C402,C405,C406,C410,C411,C102	SMD_Packages:SM1206	7	1u	1907358	0.064	0.448
7	C404,C408,C409	SMD_Packages:SM1206	3	10u	2320921	0.109	0.327
8	IC401	DCDCs:DCDC-Conv_TRACO_TMH-xxxx_Dual_RevA_27Mar2011	1	DCDC-CONV_TRACO_TMH-XXXX_Dual_REVA_27MAR2011	8728194	4.72	4.72
9	R101,R102,R103,R104,R105	Resistors_SMD:Resistor_SMD0805_HandSoldering	5	R	1632490	0.002	0.01
10	R201,R203,R301,R303,R205,R305	Resistors_SMD:Resistor_SMD0805_HandSoldering	6	10k	2331808	0.009	0.054
11	R202,R302	Resistors_SMD:Resistor_SMD0805_HandSoldering	2	47k	2331818	0.009	0.018
12	R204,R304	Resistors_SMD:Resistor_SMD0805_HandSoldering	2	8k2	2331807	0.009	0.018
13	R401,R403,R406	Resistors_SMD:Resistor_SMD0805_HandSoldering	3	240R	1652963	0.065	0.195
14	R402	Resistors_SMD:Resistor_SMD0805_HandSoldering	1	680R	2331794	0.009	0.009
15	R404,R405	Resistors_SMD:Resistor_SMD0805_HandSoldering	2	1k8	2331799	0.009	0.018
16	RV201,RV301	Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp	2	1kPOT	1141401	1.06	2.12
17	RV202,RV302	Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp	2	10kPOT	2309118	0.97	1.94
18	U102	SOIC_Packages:SOIC-14_Narrow	1	74HC04	1014140	0.33	0.33
19	U201	SMD_Packages:SO16W	1	OP470	1660969	9.24	9.24
20	U202	SMD_Packages:SO8E	1	LM358	2294721	3.41	3.41
21	U401,U402	SMD_Packages:SOT223	2	LM317EMP	2112605	0.39	0.78
22	U403	SMD_Packages:SOT223	1	LM337IMP	9979213	1.54	1.54
23	P101	Connect:bnc-ci	1	CONN_2	1111295	2.49	2.49
24	L401	SMD_Packages:SM1210	1	INDUCTOR	2287917	0.46	0.46
							35.973
							70.973
