"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"P102";"Pin_Headers:Pin_Header_Straight_2x03";1;"CONN_3X2";;;
2;"MH3,MH4,MH2,MH1";"Mounting_Holes:MountingHole_2-5mm";4;"MountingHole_2-5mm_RevA_Date21Jun2010";;;
3;"P103";"Pin_Headers:Pin_Header_Straight_2x06";1;"CONN_6X2";;;
4;"U101";"SMD_Packages:TSSOP16";1;"AD5689RARUZ";;;
5;"C101";"SMD_Packages:SM0603_Capa";1;"C";;;
6;"C102";"Capacitors_SMD:c_1206";1;"C";;;
7;"C103";"Capacitors_SMD:c_0603";1;"C";;;
8;"C401,C402,C405,C406,C410,C411";"SMD_Packages:SM1206";6;"1u";;;
9;"C403,C407,C412,C413,C414,C415";"SMD_Packages:SM0603_Capa";6;"100n";;;
10;"C404,C408,C409";"SMD_Packages:SM1206";3;"10u";;;
11;"IC401";"DCDCs:DCDC-Conv_TRACO_TMH-xxxx_Dual_RevA_27Mar2011";1;"DCDC-CONV_TRACO_TMH-XXXX_Dual_REVA_27MAR2011";;;
12;"R101,R102,R103,R104,R105";"Resistors_SMD:Resistor_SMD0805_HandSoldering";5;"R";;;
13;"R201,R203,R301,R303,R205,R305";"Resistors_SMD:Resistor_SMD0805_HandSoldering";6;"10k";;;
14;"R202,R302";"Resistors_SMD:Resistor_SMD0805_HandSoldering";2;"47k";;;
15;"R204,R304";"Resistors_SMD:Resistor_SMD0805_HandSoldering";2;"8k2";;;
16;"R401,R403,R406";"Resistors_SMD:Resistor_SMD0805_HandSoldering";3;"240R";;;
17;"R402";"Resistors_SMD:Resistor_SMD0805_HandSoldering";1;"680R";;;
18;"R404,R405";"Resistors_SMD:Resistor_SMD0805_HandSoldering";2;"1k8";;;
19;"RV201,RV301";"Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";2;"1kPOT";;;
20;"RV202,RV302";"Potentiometers:Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";2;"10kPOT";;;
21;"U102";"SOIC_Packages:SOIC-14_Narrow";1;"74HC04";;;
22;"U201";"SMD_Packages:SO16W";1;"OP470";;;
23;"U202";"SMD_Packages:SO8E";1;"LM358";;;
24;"U401,U402";"SMD_Packages:SOT223";2;"LM317EMP";;;
25;"U403";"SMD_Packages:SOT223";1;"LM337IMP";;;
26;"P101";"Connect:bnc-ci";1;"CONN_2";;;
27;"L401";"SMD_Packages:SM1210";1;"INDUCTOR";;;
